Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,.1uF,
D1,D_SOD-323,1,BAT48JFILM,
J2,SM04B-SRSS-TB,1,QWICC,C2763614
J3,SM04B-SRSS-TB,1,Power In,C2763614
J4,SM04B-SRSS-TB,1,Power Out,C2763614
K1,RELAY_PR24-5V-900-1A,1,PR24-5V-900-1A,C7029760
MOV1,V250LA40BP,1,V250LA40BP,C1527448
Q1,SOT-23,1,MMBT3904,C909754
"R1, R2",0603,2,220,
"R3, R4",0603,2,10K,
U2,VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm_ThermalVias,1,ATtiny1616-M,
U3,SO-4_4.4x3.6mm_P2.54mm,1,LTV-356T,
